Code;Description;Detailed English Description;Detailed French Description
UE.12;FORAGE : CONSOMMABLES ET PIECES DE RECHANGE POUR FOREUSES;Bits, belts, lubricants, and other wear items for maintaining drills.;Mèches, courroies, lubrifiants et consommables pour l’entretien des foreuses.
UE.2;FORAGE ET CAROTTAGE : SERVICES POUR LE FONCTIONNEMENT ET L'ENTRETIEN DES EQUIPEMENTS ET ACCESSOIRES;Mechanical, electrical, or hydraulic maintenance services for drilling tools.;Services de maintenance mécanique, électrique ou hydraulique des outils de forage.
UE.21;TRAVAUX MECANIQUES, ELECTRIQUES ET ENTRETIEN DU MATERIEL DE CAROTTAGE;Repairs or servicing of motorized coring systems and related components.;Travaux de maintenance ou réparation sur carottiers et composants associés.
UE.22;TRAVAUX MECANIQUES, ELECTRIQUES ET HYDRAULIQUES DU MATERIEL DE FORAGE;Maintenance of drill rigs involving engine, hydraulic, or electrical systems.;Entretien des foreuses : moteurs, systèmes hydrauliques ou électriques.
UE.3;FORAGE ET CAROTTAGE : PRESTATIONS DE SERVICES;External or subcontracted services for core sampling and drilling operations.;Services externes ou sous-traités de forage et carottage.
UE.31;PRESTATIONS DE FORAGE OU DE CAROTTAGE;On-site drilling or coring services, including staff and equipment rental.;Prestations sur site de forage ou de carottage, avec personnel et matériel.
UF;VEHICULES AERIENS ET EQUIPEMENTS POUR VEHICULES AERIENS;Airborne vehicles and their associated onboard or support equipment for research or transport.;Véhicules aériens et équipements associés utilisés pour la recherche ou le transport.
UF.0;VEHICULES AERIENS ET EQUIPEMENTS ASSOCIES;All categories of aircraft and their core equipment used in scientific, observational, or logistic missions.;Tous types d’aéronefs et leurs équipements principaux pour missions scientifiques ou logistiques.
UF.01;AVIONS ET HELICOPTERES;Fixed-wing aircraft and helicopters used for aerial surveys, transport, or instrumentation.;Avions et hélicoptères pour survols scientifiques, transport ou embarquement de capteurs.
UF.02;EQUIPEMENTS D'AVIONS ET D'HELICOPTERES;Additional gear such as racks, mounts, cameras, or sampling tools used onboard aircraft.;Matériel embarqué : supports, capteurs, instruments de prélèvement pour avions/hélicoptères.
UF.03;DRONES AERIENS ET ASSIMILES;Aerial drones and UAVs used for mapping, surveillance, or data acquisition.;Drones aériens pour cartographie, surveillance ou relevés de données.
UF.04;AERONEFS ET BALLONS SOLAIRES;Specialized craft like high-altitude balloons or solar-powered aircraft for atmospheric research.;Ballons stratosphériques ou aéronefs solaires pour recherche atmosphérique.
UF.1;VEHICULES AERIENS : AMENAGEMENT DES VEHICULES AERIENS;Interior modifications or structural fittings to adapt aircraft for specific missions.;Aménagements intérieurs ou structurels pour adapter un aéronef à une mission particulière.
UF.11;MATERIEL POUR L'AMENAGEMENT DES VEHICULES AERIENS;Includes mounting rails, insulation, or custom structures to support instruments.;Rails de fixation, isolants ou structures adaptées à l’instrumentation embarquée.
UF.2;VEHICULES AERIENS : EQUIPEMENTS TECHNIQUES ET DE NAVIGATION POUR VEHICULES AERIENS;Avionics, navigation systems, telemetry, or onboard computers for aerial missions.;Équipements techniques : systèmes de navigation, télémétrie, calculateurs embarqués.
UF.21;EQUIPEMENTS TECHNIQUES ET DE NAVIGATION POUR VEHICULES AERIENS;Includes GPS modules, flight controllers, radar altimeters, or flight data recorders.;Modules GPS, contrôleurs de vol, altimètres radar, enregistreurs de données.
UF.3;VEHICULES AERIENS : FOURNITURES POUR LE FONCTIONNEMENT ET L'ENTRETIEN;Operational supplies such as fuel, oils, or cleaning products for aircraft maintenance.;Fournitures d’usage : carburant, lubrifiants, produits de nettoyage pour aéronefs.
UF.31;CONSOMMABLES POUR LE FONCTIONNEMENT ET L'ENTRETIEN DES VEHICULES AERIENS;Items used up during aircraft operation like oil filters, fluids, or protective covers.;Consommables : filtres, liquides techniques, housses de protection.
UF.32;PIECES DE RECHANGE POUR MOTEURS ET AUTRES EQUIPEMENTS DE VEHICULES AERIENS;Spare engine parts, sensors, control units or structural components for repairs.;Pièces détachées : moteurs, sondes, commandes, éléments de structure.
UF.4;SERVICES POUR LE FONCTIONNEMENT ET L'ENTRETIEN DES VEHICULES AERIENS ET EQUIPEMENTS ASSOCIES;External or internal services for maintaining and repairing aircraft and equipment.;Prestations de maintenance ou réparation sur les aéronefs et équipements associés.
UF.41;REPARATION ET MAINTENANCE DES MOTEURS D'AVION;Engine overhauls, diagnostics, and repairs for aircraft propulsion systems.;Révision, diagnostic et réparation des moteurs d’avions.
UF.42;REPARATION ET MAINTENANCE DES AVIONS (HORS MOTEURS);Airframe, avionics, or electrical work excluding engine servicing.;Maintenance cellule, électronique embarquée, hors moteur.
UF.43;REPARATION ET MAINTENANCE DES AUTRES VEHICULES AERIENS;Servicing of drones, balloons, or non-standard aircraft used in research.;Entretien de drones, ballons ou aéronefs spécifiques à usage scientifique.
UG;GEOPHYSIQUE - ASTROPHYSIQUE : AUTRES EQUIPEMENTS SCIENTIFIQUES;Scientific instruments for geophysical and astrophysical research, excluding oceanographic tools.;Instruments scientifiques pour la géophysique et l'astrophysique, hors matériel océanographique.
UG.0;GEOPHYSIQUE : EQUIPEMENTS DE METEOROLOGIE;Instrumentation for atmospheric data collection, including sensors and weather stations.;Matériel de mesure météorologique : stations météo, capteurs atmosphériques, etc.
UG.01;METEOROLOGIE : EQUIPEMENTS DE METEOROLOGIE;Weather stations, anemometers, barometers, and temperature/humidity sensors.;Stations météo, anémomètres, baromètres, sondes thermiques et hygrométriques.
UG.02;METEOROLOGIE : RADIOMETRES (PROFILEURS RADIOMETRIQUES MICROONDES,…);Microwave radiometers used to profile temperature, humidity, or cloud properties.;Radiomètres micro-ondes pour mesurer profils de température, humidité, propriétés nuageuses.
UG.03;METEOROLOGIE : RADARS (RADARS PROFILEURS VHF,…);Profiling radars like VHF wind profilers to monitor wind and atmospheric structure.;Radars de profilage (VHF…) pour mesurer les vents et la structure de l’atmosphère.
UG.04;METEOROLOGIE : LIDARS;Laser-based remote sensing tools to measure aerosols, clouds, or wind velocity.;Lidars pour télédétection atmosphérique : aérosols, vent, hauteur des nuages.
UG.1;GEOPHYSIQUE : AUTRES EQUIPEMENTS SCIENTIFIQUES;Scientific equipment for ground-based geophysical data acquisition and analysis.;Équipements scientifiques pour les mesures géophysiques terrestres.
UG.11;GEOPHYSIQUE : MATERIEL DE MESURE DES VIBRATIONS;Seismometers or accelerometers for detecting ground motion and vibrations.;Sismomètres, accéléromètres pour mesurer les vibrations du sol.
UG.12;GEOPHYSIQUE : MATERIEL DE MESURE DE POSITION ET MESURE GEODESIQUE;GNSS receivers, total stations, or geodetic instruments for high-precision positioning.;Récepteurs GNSS, tachéomètres, instruments géodésiques de haute précision.
UG.13;GEOPHYSIQUE : INSTRUMENTS DE TOPOGRAPHIE ET DE MESURE DES DISTANCES;Laser rangefinders, theodolites, or GPS tools used in field topography.;Télémètres laser, théodolites ou GPS utilisés en topographie de terrain.
UG.14;GEOPHYSIQUE : MAGNETOMETRES;Instruments for measuring variations in Earth’s magnetic field, such as fluxgate or proton magnetometers.;Magnétomètres fluxgate, à protons ou autres pour mesurer le champ magnétique terrestre.
UG.15;GEOPHYSIQUE : CAPTEURS (HORS OCEANOGRAPHIE);Environmental sensors not specific to marine settings—e.g., temperature, pressure, gas detectors.;Capteurs environnementaux hors domaine marin : température, pression, détection de gaz.
UG.16;GROUPES ELECTROGENES POUR ACTIVITES SCIENTIFIQUES;Portable generators used to power field instruments during campaigns.;Groupes électrogènes portables pour alimenter les équipements en campagne scientifique.
UG.2;ASTROPHYSIQUE : EQUIPEMENTS SCIENTIFIQUES;Research instruments used in astrophysics, including simulators or observation equipment.;Matériel scientifique pour l’astrophysique : simulateurs, instruments d’observation, etc.
UG.21;APPAREILLAGE DE SIMULATION POUR APPLICATIONS SPATIALES;Vacuum chambers, radiation simulators, or thermal control systems for space testing.;Chambres à vide, simulateurs de rayonnement, systèmes thermiques pour tests spatiaux.
UG.22;AUTRE MATERIEL SCIENTIFIQUE D'ASTROPHYSIQUE;Includes telescopes, spectrometers, or optical benches used in astrophysical studies.;Télescopes, spectromètres, bancs optiques pour recherches astrophysiques.
UG.3;GEOPHYSIQUE : FOURNITURES POUR LE FONCTIONNEMENT ET L'ENTRETIEN DES EQUIPEMENTS SCIENTIFIQUES;Consumables and spare parts for geophysics and meteorology equipment maintenance.;Fournitures et pièces pour l’entretien des instruments géophysiques et météorologiques.
UG.31;CONSOMMABLES ET PIECES DE RECHANGE POUR MATERIEL DE METEOROLOGIE;Replacement sensors, filters, calibration kits, or cables for weather instruments.;Sondes de remplacement, filtres, kits d’étalonnage, câbles pour matériel météo.
UG.32;CONSOMMABLES ET PIECES DE RECHANGE POUR AUTRE MATERIEL DE GEOPHYSIQUE;Spare batteries, connectors, protective casings or calibration parts for geophysical tools.;Batteries, connecteurs, boîtiers ou pièces d’étalonnage pour appareils géophysiques.
UG.33;CONSOMMABLES ET PIECES DE RECHANGE POUR MATERIEL D'ASTROPHYSIQUE;Optical elements, electronics, cooling parts or vacuum seals for astrophysical equipment.;Éléments optiques, composants électroniques, systèmes de refroidissement ou joints sous vide.
UG.4;GEOPHYSIQUE : SERVICES POUR LE FONCTIONNEMENT ET L'ENTRETIEN DES EQUIPEMENTS SCIENTIFIQUES  NON OCEANOGRAPHIQUES;Maintenance, repair, or technical interventions on scientific gear used on land or in air.;Maintenance ou réparation de matériel scientifique terrestre ou aérien (hors océanographie).
UG.41;TRAVAUX MECANIQUES, ELECTRIQUES ET D'ENTRETIEN SUR MATERIEL DE METEOROLOGIE;Repair, calibration or wiring of meteorological stations and sensors.;Entretien, calibration ou câblage de stations météo et capteurs.
UG.42;TRAVAUX MECAN., ELECTR. ET D'ENTRETIEN SUR AUTRE MATERIEL DE GEOPHYSIQUE;Servicing seismic, magnetic, or positioning instruments in the field or lab.;Intervention sur matériel sismique, magnétique ou géodésique en laboratoire ou sur site.
UG.43;TRAVAUX MECANIQUES, ELECTRIQUES ET D'ENTRETIEN SUR MATERIEL D'ASTROPHYSIQUE;Technical maintenance of telescopes, detectors, or astrophysical simulators.;Maintenance technique de télescopes, détecteurs ou simulateurs en astrophysique.
UH;GEOPHYSIQUE - ASTROPHYSIQUE -  SPATIAL : SERVICES SPECIALISES;Specialized service providers for geophysical, astrophysical, or space data acquisition and analysis.;Prestataires spécialisés pour les services en géophysique, astrophysique ou spatial.
UH.0;GEOPHYSIQUE : SERVICES D'ACQUISITION DE DONNEES;Outsourced data collection services in meteorology, pollution, or remote sensing.;Services externalisés de collecte de données en météorologie, pollution, télédétection.
UH.01;SERVICE D'ACQUISITION DE DONNEES METEOROLOGIQUES ET CLIMATOLOGIQUES;Weather station deployments, atmospheric profiling, or long-term climate monitoring.;Installation de stations météo, profils atmosphériques, suivi climatique à long terme.
UH.02;SERVICES D'AQUISITION DE DONNEES DE POLLUTION;Air, soil, or water pollution measurement services using portable or fixed sensors.;Mesures de pollution de l’air, du sol ou de l’eau par capteurs mobiles ou fixes.
UH.03;SERVICES D'IMAGERIE SATELLITAIRES;Satellite-based imaging services including multispectral, thermal, or radar data.;Imagerie satellite : données multispectrales, thermiques, radar, etc.
UH.04;SERVICES DE MESURES LIDAR;Aerial or terrestrial LIDAR mapping for elevation, vegetation, or urban modeling.;Cartographie LIDAR (aérienne ou terrestre) : élévation, végétation, modélisation urbaine.
UH.1;GEOPHYSIQUE - SPATIAL : AUTRES SERVICES;Miscellaneous technical services related to satellite operations, mapping, or analysis.;Autres prestations techniques : cartographie, télédétection, opérations spatiales.
UH.11;SERVICES D'ETABLISSEMENT DE CARTES ET DE PHOTOINTERPRETATION;Map creation, image annotation, and terrain analysis from aerial or satellite data.;Cartographie, interprétation photo et analyse de terrain à partir d’imagerie aérienne/satellite.
UH.12;NE PLUS UTILISER - UTILISER UE31;Deprecated – refer to UE31 for drilling and coring services.;Obsolète – utiliser UE31 pour les prestations de forage/carottage.
UH.13;SOLUTIONS DE LANCEMENT DE SATELLITES;Logistics or access to launch services for research payloads or small satellites.;Accès aux services de lancement de satellites ou charges utiles scientifiques.
UH.14;NE PLUS UTILISER - UTILISER UC55;Deprecated – refer to UC55 for high-performance computing services.;Obsolète – utiliser UC55 pour les services de calcul haute performance.
UH.15;AUTRES SERVICES SPECIALISES EN GEOPHYSIQUE;Customized services like gravimetric surveys, magnetotellurics, or GNSS campaigns.;Prestations spécifiques : gravimétrie, magnétotellurique, campagnes GNSS, etc.
UI;ARCHEOLOGIE;Archaeology-related supplies and field services for excavation and site analysis.;Fournitures et services pour les fouilles et l’analyse de sites archéologiques.
UI.0;ARCHEOLOGIE : FOURNITURES POUR FOUILLES ARCHEOLOGIQUES;Field tools and consumables such as trowels, sieves, tags, and protective gear.;Outils et consommables pour les fouilles : truelles, tamis, étiquettes, EPI.
UI.01;ARCHEOLOGIE : FOURNITURES POUR FOUILLES ARCHEOLOGIQUES;Same as UI.0 – excavation equipment and basic materials for archaeological digs.;Identique à UI.0 – matériel et fournitures de base pour les chantiers de fouilles.
UI.1;ARCHEOLOGIE : SERVICES SUR CHANTIERS DE FOUILLES;External services for excavation work, site preparation, or manual labor on digs.;Prestations externes pour les fouilles : préparation de site, main d’œuvre, interventions.
UI.11;ARCHEOLOGIE : PRESTATIONS SERVICES SUR CHANTIER DE FOUILLES (TERRASSEMENT…);Earth-moving, trenching, or support services for excavation and stratigraphic studies.;Terrassement, creusement ou services de soutien sur chantiers de fouilles.
V;VIDE ET ULTRAVIDE : EQUIPEMENTS POUR LE VIDE ET POUR LES TECHNIQUES SOUS VIDE;Vacuum and ultra-high vacuum systems for scientific experiments and materials processing.;Systèmes de vide et ultravide pour la recherche scientifique et les procédés de traitement des matériaux.
VA;VIDE ET ULTRA-VIDE : EQUIPEMENTS POUR LA GENERATION, LA MESURE ET LE CONTRÔLE DU VIDE ET DE L'ULTRAVIDE;Instruments for generating, measuring, and controlling vacuum and UHV conditions.;Matériel pour générer, mesurer et réguler le vide et l’ultravide.
VA.0;VIDE ET ULTRAVIDE : POMPES / SYSTEMES DE POMPAGE;Vacuum pump systems to create primary, secondary, or ultra-high vacuum environments.;Systèmes de pompage pour générer du vide primaire, secondaire ou ultravide.
VA.01;VIDE PRIMAIRE : POMPES (A MEMBRANES, PALETTES, PISTONS, ROOTS,…);Primary vacuum pumps such as diaphragm, rotary vane, piston, and Roots pumps.;Pompes à vide primaire : à membrane, palettes, pistons, Roots, etc.
VA.02;VIDE SECONDAIRE ET ULTRAVIDE : POMPES (TURBOMOLECULAIRES,…);High vacuum and UHV pumps like turbomolecular or ion pumps.;Pompes à vide élevé/ultravide : turbomoléculaires, à ions, cryopompes, etc.
VA.03;VIDE ET ULTRAVIDE : CONSOMMABLES ET PIECES DETACHEES POUR POMPES;Replacement parts like seals, oil, rotors, and filters for vacuum pumps.;Consommables et pièces détachées : joints, huiles, filtres, rotors pour pompes à vide.
VA.1;VIDE ET ULTRAVIDE : ENCEINTES / BATI A VIDE ET COMPOSANTS ASSOCIES;Vacuum chambers and structural systems with parts for experimental setups.;Enceintes à vide et structures avec composants pour dispositifs expérimentaux.
VA.11;VIDE ET ULTRAVIDE : ENCEINTES ET BATIS POUR LE VIDE ET L'ULTRAVIDE;Metal or glass chambers and support frames used for vacuum experiments.;Enceintes métalliques ou en verre et bâtis pour expériences sous vide.
VA.12;VIDE ET ULTRAVIDE : COMPOSANTS POUR ENCEINTES (VANNES, RACCORDS, HUBLOTS…);Valves, flanges, windows, and feedthroughs for vacuum system integration.;Vannes, brides, hublots, traversées pour enceintes à vide.
VA.13;VIDE ET ULTRAVIDE : MANIPULATEURS UHV ET ACCESSOIRES;Precision manipulators and stages used inside UHV chambers.;Manipulateurs et accessoires de positionnement pour enceintes UHV.
VA.14;VIDE ET ULTRAVIDE : ELEMENTS CHAUFFANTS POUR LE VIDE;Heating components for degassing or temperature control in vacuum environments.;Éléments chauffants pour dégazage ou régulation thermique sous vide.
VA.15;VIDE ET ULTRAVIDE : AUTRES EQUIPEMENTS D'ENCEINTES A VIDE;Miscellaneous devices like shutters, cold traps, and vibration isolation for vacuum setups.;Autres équipements : obturateurs, pièges froids, supports antivibratoires.
VA.2;VIDE ET ULTRAVIDE : EQUIPEMENTS POUR LA MESURE ET LE CONTROLE DU VIDE ET DE L'ULTRAVIDE;Devices for monitoring pressure, flow, and gas composition in vacuum systems.;Instruments de mesure et contrôle : pression, débit, composition gazeuse.
VA.21;VIDE ET ULTRAVIDE : INSTRUMENTATION DE MESURE DU VIDE (JAUGES, VACUOMETRES,…);Pressure gauges such as Pirani, cold cathode, or capacitance manometers.;Jauges à vide : Pirani, cathode froide, manomètres capacitifs, etc.
VA.22;VIDE ET ULTRAVIDE : DEBITMETRES - REGULATEURS DE DEBIT;Mass flow controllers and valves to regulate gas input into vacuum systems.;Régulateurs de débit, débitmètres massiques pour injection de gaz sous vide.
VA.23;VIDE ET ULTRAVIDE : ANALYSEURS DES GAZ RESIDUELS (RGA) ET DETECTEURS DE FUITE;Residual gas analyzers (RGA) and helium leak detectors for system diagnostics.;Analyseurs de gaz résiduels (RGA) et détecteurs de fuites à l’hélium.
VB;VIDE ET ULTRA-VIDE : TECHNIQUES SOUS VIDE;Vacuum-based techniques for surface science, thin films, and microfabrication.;Techniques sous vide pour la science des surfaces, les couches minces et la microfabrication.
VB.0;TECHNIQUES SOUS VIDE (DEPOT, GRAVURE) : EQUIPEMENTS;Equipment used in vacuum-assisted material deposition and etching.;Matériel pour le dépôt et la gravure de matériaux sous vide.
VB.01;TECHNIQUES SOUS VIDE : MACHINES DE DEPOT ET DE GRAVURE;Systems for physical vapor deposition (PVD) and reactive ion etching (RIE).;Machines de dépôt physique (PVD) ou gravure ionique réactive (RIE).
VB.02;TECHNIQUES SOUS VIDE : EVAPORATEURS SOUS VIDE;Thermal or electron beam evaporators for thin film deposition.;Évaporateurs thermiques ou à faisceau d’électrons pour dépôt de couches minces.
VB.03;TECHNIQUES SOUS VIDE : SYSTÈMES D'IONISATION A FAISCEAU D'IONS FOCALISES (FIB);Focused Ion Beam systems for nanomachining, cross-sectioning or sample prep.;Systèmes FIB pour micro-usinage, coupes transversales ou préparation d’échantillons.
VB.04;TECHNIQUES SOUS VIDE : MICROBALANCES;Quartz crystal microbalances (QCM) to monitor mass changes during deposition.;Microbalances à quartz (QCM) pour suivi de dépôt en temps réel.
VB.05;TECHNIQUES SOUS VIDE : CELLULES D'EFFUSION;Effusion cells used to sublimate materials in molecular beam epitaxy (MBE).;Cellules d’effusion pour sublimation de matériaux en épitaxie par jets moléculaires (MBE).
VB.06;TECHNIQUES SOUS VIDE : AUTRE MATERIEL (APPAREILS DE PREPARATION DE SURFACE,…);Other vacuum prep tools such as ion cleaners, sputter devices, or load-locks.;Autres équipements : nettoyeurs ioniques, pulvérisateurs cathodiques, sas d’introduction.
VC;VIDE ET ULTRA-VIDE : REPARATION ET MAINTENANCE DU MATERIEL POUR LE VIDE ET LES TECHNIQUES SOUS VIDE;Services for repairing and maintaining vacuum and UHV systems and tools.;Services de maintenance et réparation des équipements sous vide et ultravide.
VC.0;VIDE ET ULTRAVIDE : REPARATION ET MAINTENANCE DU MATERIEL POUR LE VIDE;Maintenance work on vacuum pumps, gauges, valves, and vacuum system infrastructure.;Maintenance de pompes, jauges, vannes et éléments de systèmes à vide.
VC.01;REPARATION ET MAINTENANCE DES POMPES A VIDE ET ULTRAVIDE;Inspection, oil replacement, seal changes, and rotor repair for vacuum pumps.;Révisions de pompes à vide : huile, joints, rotors, etc.
VC.02;REPARATION ET MAINTENANCE DU MATERIEL DE MESURE ET CONTRÔLE DU VIDE;Calibration and repair of vacuum gauges, leak detectors, or gas analyzers.;Calibration et réparation des jauges à vide, détecteurs de fuite, RGA.
VC.1;VIDE ET ULTRAVIDE : REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR LES TECHNIQUES SOUS VIDE;Servicing of deposition, etching, and thin-film processing systems.;Maintenance des équipements de dépôt, gravure et traitement de surface.
VC.11;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE DEPOT ET GRAVURE;Replacement of parts, realignment, or software updates for vacuum-based microfabrication tools.;Changement de pièces, recalibrage ou mises à jour pour outils de microfabrication sous vide.
W;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE;Materials and tools for nanofabrication and microelectronics research or production.;Matériaux et équipements pour la recherche et la production en nanotechnologies et microélectronique.
WA;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : MATERIAUX, CONSOMMABLES, EQUIPEMENTS;All categories of consumables and equipment used in nano- and microelectronic processes.;Matériaux, consommables et équipements pour la micro/nanofabrication.
WA.0;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : MATERIAUX ET CONSOMMABLES;Substrates, chemicals, and resists used in fabrication of electronic and nano-devices.;Substrats, produits chimiques, résines pour la fabrication de dispositifs électroniques ou nano.
WA.01;NANOTECHNOLOGIES - MICROELECTRONIQUE : MATERIAUX SEMI-CONDUCTEURS;Wafers or materials like Si, GaAs, SiC used as semiconductor bases.;Matériaux semi-conducteurs : plaquettes de silicium, GaAs, SiC, etc.
WA.02;NANOTECHNOLOGIES - MICROELECTRONIQUE : AUTRES SUBSTRATS;Specialty substrates such as quartz, sapphire, or polymers for microfabrication.;Substrats spéciaux : quartz, saphir, polymères pour micro/nanofabrication.
WA.03;NE PLUS UTILISER - UTILISER NA.23;Deprecated – refer to NA.23 for updated classification.;Obsolète – utiliser NA.23 pour la nouvelle classification.
WA.04;NANOTECHNOLOGIES - MICROELECTRONIQUE : CONSOMMABLES (RESINES,…);Photoresists, solvents, developers, and cleaning chemicals for lithography.;Résines, solvants, révélateurs, produits de nettoyage pour la lithographie.
WA.1;NANOTECHNOLOGIES - MICROELECTRONIQUE : EQUIPEMENTS DE LITHOGRAPHIE ET CONSOMMABLES DEDIES;Tools and accessories for optical, laser, and electron beam lithography processes.;Équipements pour lithographie optique, laser ou électronique et consommables associés.
WA.11;NANOTECHNOLOGIES - MICROELECTRONIQUE : MATERIEL POUR PHOTOLITHOGRAPHIE;Mask aligners, spin coaters, UV exposure systems for photolithography.;Aligneurs de masques, spin coaters, systèmes d'exposition UV pour photolithographie.
WA.12;NANOTECHNOLOGIES - MICROELEC : MATERIEL DE LITHOGRAPHIE LASER ACCESSOIRES;Laser lithography systems and accessories such as stages and beam controls.;Systèmes de lithographie laser et accessoires (platines, contrôles de faisceau…).
WA.13;NANOTECHNOLOGIES - MICROELEC : CONSOMMABLES POUR EQUIPEMENT DE LITHOGRAPHIE;Specific resists, masks, developers and solvents for lithographic tools.;Résines, masques, révélateurs, solvants spécifiques à la lithographie.
WA.14;NANOTECHNOLOGIES - MICROELEC : MATERIEL DE LITHOGRAPHIE ELECTRONIQUE ET ACCES.;E-beam lithography systems and peripherals for nanoscale patterning.;Systèmes de lithographie électronique et accessoires pour motifs nanométriques.
WA.15;NANOTECHNOLOGIES - MICROELEC : LOGICIELS DE LITHOGRAPHIE ELECTRONIQUE;Software for layout design, mask generation, and pattern alignment in e-beam lithography.;Logiciels de conception de motifs, génération de masques, alignement pour lithographie électronique.
WA.2;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : AUTRES EQUIPEMENTS ET CONSOMMABLES DEDIES;Other fabrication tools not classified under lithography: deposition, ion implantation, etc.;Autres équipements de fabrication : dépôt (hors vide), implantation ionique, etc.
WA.21;NANOTECHNOLOGIES - MICROELEC. : MATERIEL POUR LE DEPOT (HORS VIDE);Spin coaters, dip coaters, and other non-vacuum deposition systems.;Spin coaters, dip coaters, systèmes de dépôt hors vide.
WA.22;NANOTECHNOLOGIES - MICROELEC. : MATERIEL D'IMPLANTATION IONIQUE;Ion implanters used to dope semiconductor substrates with precise doses.;Implanteurs ioniques pour dopage contrôlé des substrats semi-conducteurs.
WA.23;NANOTECHNOLOGIES - MICROELEC. : MATERIEL DE SERIGRAPHIE / IMPRESSION;Screen printing and inkjet systems for depositing conductive or functional inks.;Sérigraphie, impression jet d’encre pour encres conductrices ou fonctionnelles.
WA.24;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : FOURS SPECIAUX;High-temperature furnaces for annealing, oxidation, or diffusion processes.;Fours spéciaux pour recuit, oxydation, diffusion dans les procédés microélectroniques.
WA.25;MICRO-ELECTRONIQUE : AUTRES MACHINES DEDIEES (MICROSOUDURE, BONDING, TEST,…);Special machines for bonding, microwelding, wafer testing, and circuit inspection.;Microsoudure, bonding, testeurs de wafers, inspection de circuits.
WB;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : REPARATION ET MAINTENANCE DES EQUIPEMENTS;Maintenance and repair services for microelectronics and nanofabrication tools.;Services de maintenance et réparation des équipements de micro/nanofabrication.
WB.0;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : REPARATION ET MAINTENANCE DES EQUIPEMENTS DE LITHOGRAPHIE;Servicing of photolithography, e-beam, and laser lithography systems.;Maintenance des systèmes de lithographie optique, électronique ou laser.
WB.01;REPARATION ET MAINTENANCE DES EQUIPEMENTS DE LITHOGRAPHIE;Cleaning, alignment, software update, or component replacement for lithography equipment.;Nettoyage, alignement, mises à jour logicielles ou changement de pièces pour équipements de lithographie.
WB.1;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS;Repair and upkeep of non-lithography nanotech tools such as furnaces or bonding machines.;Entretien des équipements hors lithographie : fours, microsoudeuses, testeurs.
WB.11;REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS PR MICRO-ELECTRONIQUE;Maintenance of implant systems, deposition machines, or screen printers.;Maintenance d’implanteurs, équipements de dépôt ou de sérigraphie.
WC;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : SERVICES SPECIALISES;Outsourced or expert services for nano/microelectronic research and development.;Prestations spécialisées pour la recherche en micro/nanotechnologie.
WC.0;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : SERVICES SPECIALISES;Technical services such as process development, circuit design, or mask fabrication.;Services techniques : développement de procédés, conception de circuits, fabrication de masques.
WC.01;NANOTECHNOLOGIES - MICRO-ELECTRONIQUE : SERVICES SPECIALISES;May include cleanroom access, custom process runs, or lithographic patterning services.;Accès salle blanche, réalisation de procédés sur mesure, services de photomasquage.
X;DEPENSES HORS ACHATS;Expenses not related to direct purchasing—includes travel, reimbursements, and relocation.;Dépenses hors achats directs : remboursements, frais de déplacement, changements de résidence.
XA;REMBOURSEMENT DES DEPLACEMENTS ET MISSIONS;Reimbursements related to business travel, research missions, and professional mobility.;Remboursements liés aux déplacements professionnels, missions et mobilités.
XA.0;REMBOURSEMENT DES FRAIS DE MISSIONS DES PERSONNELS;Travel cost reimbursement for permanent staff during official missions.;Remboursement des frais de mission (transport, repas, hébergement) du personnel.
XA.01;OSOLETE - REMBOURSEMENT FRAIS DE MISSIONS EN FRANCE METROPOLITAINE Personnels;Deprecated – use updated codes for domestic staff travel in France.;Obsolète – utiliser les nouveaux codes pour missions en France.
XA.02;OSOLETE - REMBOURSEMENT FRAIS DE MISSIONS A L'ETRANGER Personnels;Deprecated – use updated codes for international staff travel.;Obsolète – utiliser les nouveaux codes pour missions à l’étranger.
XA.03;SUBVENTIONS FRAIS DE RECHERCHE SUR LE TERRAIN Personnels;Grants covering fieldwork expenses for research staff (e.g. transport, equipment rental).;Aides pour frais de terrain des chercheurs (transport, location de matériel…).
XA.04;AUTRES REMBOURSEMENTS DE FRAIS DE MISSIONS Personnels;Miscellaneous staff mission reimbursements not covered by specific categories.;Remboursements divers de missions pour le personnel.
XA.05;REMBOURSEMENT DES FRAIS DE RESTAURATION EN FRANCE METROPOLITAINE;Meal cost reimbursement during missions in mainland France.;Frais de restauration lors de missions en métropole.
